Rk,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,
Patrick Mahomes
Patrick Mahomes
Patrick Mahomes,2022-12-11,13,14,27.085,KAN,@,DEN,W 34-28,*,28,42,66.67,352,3,3,86.6,2,10,8.38,6.60,3,-3,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%
Patrick Mahomes,2022-12-18,14,15,27.092,KAN,@,HOU,W 30-24,*,36,41,87.80,336,2,0,117.1,2,23,8.20,9.17,5,33,6.60,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,1,0,0,1,0,0,77,100%,0,0%,0,0%
Patrick Mahomes,2022-12-24,15,16,27.098,KAN,,SEA,W 24-10,*,16,28,57.14,224,2,0,106.8,1,4,8.00,9.43,2,8,4.00,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,53,100%,0,0%,0,0%
Patrick Mahomes,2023-01-01,16,17,27.106,KAN,,DEN,W 27-24,*,29,42,69.05,328,3,1,106.1,0,0,7.81,8.17,4,8,2.00,0,1,1,6,6.00,0,100.0%,6.00,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,100%,0,0%,0,0%
Patrick Mahomes,2023-01-07,17,18,27.112,KAN,@,LVR,W 31-13,*,18,26,69.23,202,1,0,105.0,2,21,7.77,8.54,3,29,9.67,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,88%,0,0%,0,0%
Patrick Mahomes,17 Games,,,,,,,14-3-0,,435,648,67.13,5250,41,12,105.2,26,188,8.10,8.53,61,358,5.87,4,1,1,6,6.00,0,100.0%,6.00,1,4,26,0.0,1,1,2,0,0,5,0,0,4,-3,0,,,,,,
Rk,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,1,2,3,4,5,6,7,8,9,10,11,12,13,14,
Patrick Mahomes
Patrick Mahomes
Patrick Mahomes,2023-09-07,1,1,27.355,KAN,,DET,L 20-21,*,21,39,53.85,226,2,1,77.5,0,0,5.79,5.67,6,45,7.50,0,0,0,0,0,0,0,65,100%,0,0%,0,0%
Patrick Mahomes,2023-09-17,2,2,28.000,KAN,@,JAX,W 17-9,*,29,41,70.73,305,2,1,98.1,1,7,7.44,7.32,7,30,4.29,0,0,0,0,1,0,0,67,100%,0,0%,0,0%
Patrick Mahomes,2023-09-24,3,3,28.007,KAN,,CHI,W 41-10,*,24,33,72.73,272,3,0,127.3,0,0,8.24,10.06,3,28,9.33,0,0,0,0,0,0,0,56,73%,0,0%,0,0%
Patrick Mahomes,2023-10-01,4,4,28.014,KAN,@,NYJ,W 23-20,*,18,30,60.00,203,1,2,63.6,1,6,6.77,4.43,7,51,7.29,0,1,0,0,1,0,0,70,100%,0,0%,0,0%
Patrick Mahomes,2023-10-08,5,5,28.021,KAN,@,MIN,W 27-20,*,31,41,75.61,281,2,0,109.9,2,15,6.85,7.83,0,0,,0,0,0,0,0,0,0,66,100%,0,0%,0,0%
Patrick Mahomes,2023-10-12,6,6,28.025,KAN,,DEN,W 19-8,*,30,40,75.00,306,1,1,94.4,2,13,7.65,7.03,6,31,5.17,0,0,0,0,0,0,0,71,100%,0,0%,0,0%
Patrick Mahomes,2023-10-22,7,7,28.035,KAN,,LAC,W 31-17,*,32,42,76.19,424,4,1,129.5,1,9,10.10,10.93,4,29,7.25,0,0,0,0,0,0,0,68,100%,0,0%,0,0%
Patrick Mahomes,2023-10-29,8,8,28.042,KAN,@,DEN,L 9-24,*,24,38,63.16,240,0,2,59.1,3,28,6.32,3.95,3,20,6.67,0,1,1,0,0,0,0,61,100%,0,0%,0,0%
Patrick Mahomes,2023-11-05,9,9,28.049,KAN,,MIA,W 21-14,*,20,30,66.67,185,2,0,105.6,2,11,6.17,7.50,6,24,4.00,0,1,1,0,0,0,0,60,100%,0,0%,0,0%
Patrick Mahomes,2023-11-20,10,11,28.064,KAN,,PHI,L 17-21,*,24,43,55.81,177,2,1,71.6,1,9,4.12,4.00,6,38,6.33,0,0,0,0,0,0,0,79,100%,0,0%,0,0%
Patrick Mahomes,2023-11-26,11,12,28.070,KAN,@,LVR,W 31-17,*,27,34,79.41,298,2,0,122.8,1,7,8.76,9.94,5,9,1.80,0,0,0,0,0,0,0,60,100%,0,0%,0,0%
Patrick Mahomes,2023-12-03,12,13,28.077,KAN,@,GNB,L 19-27,*,21,33,63.64,210,1,1,79.1,3,21,6.36,5.61,4,26,6.50,0,0,0,0,0,0,0,67,100%,0,0%,0,0%
Patrick Mahomes,2023-12-10,13,14,28.084,KAN,,BUF,L 17-20,*,25,43,58.14,271,1,1,74.9,1,7,6.30,5.72,1,8,8.00,0,0,0,0,0,0,0,66,100%,0,0%,0,0%
Patrick Mahomes,2023-12-17,14,15,28.091,KAN,@,NWE,W 27-17,*,27,37,72.97,305,2,2,92.7,3,26,8.24,6.89,3,-5,-1.67,0,0,0,0,1,0,0,65,100%,0,0%,0,0%
Patrick Mahomes,14 Games,,,,,,,9-5-0,,353,524,67.37,3703,25,13,93.2,21,159,7.07,6.90,61,334,5.48,0,3,2,0,3,0,0,,,,,,
